codigo_acao_orcamentaria	nome_acao_orcamentaria	procv_funcao_no_access_da_camara
127G	CONSTRUCAO DE TERMINAIS FLUVIAIS NA REGIAO NORTE	Transporte
127H	ADEQUACAO DE TRECHO RODOVIARIO - ESTIVA - ENTRONCAMENTO BR-402/MA (BACABEIRA) - NA BR-135/MA	Transporte
127L	ADEQUACAO DE TRAVESSIA URBANA EM UNAI - NA BR-251/MG	Transporte
128W	CONSTRUCAO DE TRECHO RODOVIARIO - CAMPO MOURAO - PALMITAL - NA BR-158/PR	Transporte
128Z	IMPLANTACAO DO SISTEMA OPERADOR DA REDE NACIONAL DE TV PUBLICA DIGITAL (RNTPD)	Administração
12DG	DRAGAGEM E ADEQUACAO DA NAVEGABILIDADE NO CANAL DAS FLECHAS (RJ)	Transporte
12DS	CONSTRUCAO DE PREDIO ANEXO AO BLOCO M DA AGENCIA NACIONAL DE AGUAS	Gestão Ambiental
12EA	REFORMA DO EDIFICIO-SEDE DO MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES	Comunicações
12EP	INTEGRACAO DO RIO SAO FRANCISCO COM AS BACIAS DO NORDESTE SETENTRIONAL (EIXO LESTE)	Gestão Ambiental
12ER	ADEQUACAO DE CONTORNO RODOVIARIO EM VITORIA - NA BR-101/ES	Transporte
12FR	IMPLANTACAO DO PROJETO PUBLICO DE IRRIGACAO JONAS PINHEIRO COM 1.300 HA NO ESTADO DO MATO GROSSO	Agricultura
12FT	IMPLANTACAO DO PROJETO PUBLICO DE IRRIGACAO MARRECAS/JENIPAPO COM 1.000 HA NO ESTADO DO PIAUI	Agricultura
12FV	CONSTRUCAO DA BARRAGEM DE ALGODOES NO ESTADO DO PIAUI	Gestão Ambiental
12G2	CONSTRUCAO DO CANAL DE IRRIGACAO JAGUARI NO ESTADO DO RIO GRANDE DO SUL	Agricultura
12G3	CONSTRUCAO DO CANAL DE IRRIGACAO TAQUAREMBO NO ESTADO DO RIO GRANDE DO SUL	Agricultura
12G4	IMPLANTACAO DE ADUTORA CHAPECOZINHO COM 57 KM NO ESTADO DE SANTA CATARINA	Gestão Ambiental
12G5	IMPLANTACAO DO SISTEMA ADUTOR DE GUANAMBI NO ESTADO DA BAHIA	Gestão Ambiental
12G6	RECUPERACAO DE RESERVATORIOS ESTRATEGICOS PARA A INTEGRACAO DO RIO SAO FRANCISCO	Gestão Ambiental
12G7	CONSTRUCAO DO CANAL ADUTOR VERTENTE LITORANEA COM 112,5 KM NO ESTADO DA PARAIBA	Gestão Ambiental
12HL	MELHORAMENTOS NO CANAL DE NAVEGACAO DA HIDROVIA DO RIO MADEIRA	Transporte
12HY	MELHORAMENTOS NO CANAL DE NAVEGACAO DA HIDROVIA DO RIO TAPAJOS	Transporte
12I0	MODERNIZACAO DO PORTO DE PORTO VELHO - NO ESTADO DE RONDONIA	Transporte
12IW	ADEQUACAO DE TRECHO RODOVIARIO - ILHEUS - ITABUNA - NA BR-415/BA	Transporte
12IX	ADEQUACAO DE TRAVESSIA URBANA EM LUIS EDUARDO MAGALHAES - NA BR-242/BA	Transporte
12J1	MELHORAMENTOS NO CANAL DE NAVEGACAO DA HIDROVIA DO SAO FRANCISCO	Transporte
12JG	CONSTRUCAO DE TRECHO RODOVIARIO - ENTRONCAMENTO BA-460 - DIVISA BA/TO - NA BR-242/BA	Transporte
12JL	ADEQUACAO DE TRECHO RODOVIARIO - CASCAVEL - GUAIRA - NA BR-163/PR	Transporte
12JP	APOIO A CONSTRUCAO DO RODOANEL - TRECHO NORTE/SP	Transporte
12JT	ADEQUACAO DE TRECHO RODOVIARIO - AREIA BRANCA - DIVISA RN/PB - NA BR-110/RN	Transporte
12JU	ADEQUACAO DE TRECHO RODOVIARIO - ENTRONCAMENTO ACESSO AO PORTO DE PECEM - SOBRAL - NA BR-222/CE	Transporte
12JV	CONSTRUCAO DE CONTORNO RODOVIARIO EM ANAPOLIS - NA BR-153/GO	Transporte
12K7	ALINHAMENTO E REFORCO DO BERCO 4 NO PORTO DE ITAJAI (SC)	Transporte
12KF	ADEQUACAO DE TRECHO RODOVIARIO - SAO MIGUEL DO OESTE - DIVISA SC/PR - NA BR-163/SC	Transporte
12KG	ADEQUACAO DE TRAVESSIA URBANA EM SANTA MARIA - NA BR-158/287/RS	Transporte
12KP	IMPLANTACAO DO SISTEMA DE CARGA INTELIGENTE E CADEIA LOGISTICA INTELIGENTE	Transporte
12KQ	IMPLANTACAO DO SISTEMA DE APOIO AO GERENCIAMENTO DA INFRAESTRUTURA PORTUARIA	Transporte
12KR	IMPLANTACAO DO SISTEMA DE GESTAO DE TRAFEGO DE NAVIOS	Transporte
12KS	IMPLANTACAO DO SISTEMA DE GERENCIAMENTO DE RESIDUOS SOLIDOS E EFLUENTES LIQUIDOS EM PORTOS MARITIMOS	Transporte
12KU	APOIO A IMPLANTACAO DE ESCOLAS PARA EDUCACAO INFANTIL	Educação
12KV	IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES	Educação
12KY	CONSTRUCAO DE CONTORNO RODOVIARIO EM CUIABA - NAS BRS 070/163/364/MT	Transporte
12L4	IMPLANTACAO, CONSTRUCAO E AMPLIACAO DE UNIDADES DE PRONTO ATENDIMENTO - UPA	Saúde
12L5	CONSTRUCAO E AMPLIACAO DE UNIDADES BASICAS DE SAUDE - UBS	Saúde
12MG	IMPLANTACAO DE ESPACOS INTEGRADOS DE ESPORTE, CULTURA, LAZER E SERVICOS PUBLICOS - PRACAS DOS ESPORTES E DA CULTURA	Administração
12MK	CONSTRUCAO DE CONTORNO RODOVIARIO EM CAMPINA GRANDE - NA BR-230/PB	Transporte
12NZ	MODERNIZACAO DA GESTAO DO PATRIMONIO IMOBILIARIO DA UNIAO	Administração
12OB	TRANSFERENCIA DA GESTAO DE PROJETOS PUBLICOS DE IRRIGACAO	Agricultura
12P1	IMPLANTACAO DO REATOR MULTIPROPOSITO BRASILEIRO	Ciência e Tecnologia
12P6	RECUPERACAO DE 53,5 KM DE ESTRADAS VICINAIS NO ESTADO DA BAHIA	Urbanismo
12PG	PROMOCAO DO CINEMA NA CIDADE - FUNDO SETORIAL DO AUDIOVISUAL	Cultura
12QB	IMPLANTACAO DO CENTRO NACIONAL DE MONITORAMENTO E ALERTA DE DESASTRES NATURAIS - CEMADEN	Ciência e Tecnologia
12QC	IMPLANTACAO DE OBRAS E EQUIPAMENTOS PARA OFERTA DE AGUA	Gestão Ambiental
12Y0	DRAGAGEM DE APROFUNDAMENTO NO PORTO DE MACEIO (AL)	Transporte
1304	ADEQUACAO DE TRECHO RODOVIARIO - DIVISA MG/SP - DIVISA MG/GO - NA BR-050/MG	Transporte
1310	ADEQUACAO DE TRECHO RODOVIARIO - APARECIDA DE GOIANIA - ITUMBIARA - NA BR-153/GO	Transporte
1379	ATENDIMENTO DAS DEMANDAS POR ENERGIA ELETRICA EM LOCALIDADES ISOLADAS NAO-SUPRIDAS PELA REDE ELETRICA CONVENCIONAL	Energia
1393	IMPLANTACAO DA USINA DE ENRIQUECIMENTO DE URANIO E DA FABRICA DE ULTRACENTRIFUGAS - UNIDADE TECNOLOGICA DE SEPARACAO ISOTOPICA	Ciência e Tecnologia
13CL	CONSTRUCAO DE FONTE DE LUZ SINCROTRON DE 4. GERACAO - SIRIUS, POR ORGANIZACAO SOCIAL (LEI N. 9.637, DE 15 DE MAIO DE 1998)	Ciência e Tecnologia
13CM	IMPLANTACAO DO REPOSITORIO DE REJEITOS DE BAIXO E MEDIO NIVEL - RBMN	Ciência e Tecnologia
13CN	IMPLANTACAO DO LABORATORIO DE FUSAO NUCLEAR	Ciência e Tecnologia
13CP	AMPLIACAO DA UNIDADE DE CONCENTRADO DE URANIO EM CAETITE NO ESTADO DA BAHIA	Ciência e Tecnologia
13CQ	AMPLIACAO DO PARQUE INDUSTRIAL DE RESENDE NO ESTADO DO RIO DE JANEIRO	Ciência e Tecnologia
13CR	IMPLANTACAO DA USINA DE CONVERSAO DE URANIO	Ciência e Tecnologia
13D8	OBTENCAO DE PROPRIOS NACIONAIS RESIDENCIAIS PARA A AERONAUTICA	Defesa Nacional
13D9	OBTENCAO DE PROPRIOS NACIONAIS RESIDENCIAIS PARA O EXERCITO	Defesa Nacional
13DB	AQUISICAO DE SISTEMAS DE ARTILHARIA ANTIAEREA	Defesa Nacional
13DC	CONSTRUCAO DE NAVIOS-PATRULHA OCEANICOS DE 1.800 TONELADAS (NPAOC 1800T)	Defesa Nacional
13DE	ELABORACAO DO PROJETO DE ARQUITETURA DO SISTEMA DE GERENCIAMENTO DA AMAZONIA AZUL (SISGAAZ)	Defesa Nacional
13DT	CONSTRUCAO DA NOVA UNIDADE ADMINISTRATIVA DA FIOCRUZ	Saúde
13DU	CONSTRUCAO DO COMPLEXO DE PESQUISA E DESENVOLVIMENTO EM SAUDE E PRODUCAO DE IMUNOBIOLOGICOS DA FIOCRUZ NO CEARA	Saúde
13DV	CONSTRUCAO DO CENTRO DE PESQUISA E DESENVOLVIMENTO TECNOLOGICO EM BELO HORIZONTE/MG	Saúde
13DW	CONSTRUCAO DO CENTRO DE PROCESSAMENTO FINAL DE IMUNOBIOLOGICOS	Saúde
13DX	CONSTRUCAO DO CENTRO DE PESQUISA DA FIOCRUZ EM TERESINA/PI	Saúde
13DZ	CONSTRUCAO DO POLO DE BIOTECNOLOGIA DA FIOCRUZ EM PORTO VELHO/RO	Saúde
13E1	IMPLANTACAO DO CANAL DE CULTURA	Cultura
13E4	PROJETO DE ASSISTENCIA TECNICA AOS SETORES DE ENERGIA E MINERAL - META	Energia
13EL	ADEQUACOES SOB LINHA FERREA EM SAO CARLOS - NA EF-364/SP	Transporte
13F9	CONSTRUCAO DO EDIFICIO-SEDE DO CENTRO GESTOR E OPERACIONAL DO SISTEMA DE PROTECAO DA AMAZONIA - CENSIPAM	Defesa Nacional
13FC	IMPLANTACAO DO MEMORIAL DA ANISTIA POLITICA DO BRASIL	Direitos da Cidadania
13KH	CONSTRUCAO DE VIADUTO SOBRE LINHA FERREA EM GUARAREMA - NA EF-105/SP	Transporte
13L9	CONSTRUCAO DE PASSAGEM INFERIOR SOB A LINHA FERREA - NO MUNICIPIO DE PAVERAMA - EF-116 - NO ESTADO DO RIO GRANDE DO SUL	Transporte
13LF	ADEQUACAO DE INFRAESTRUTURA PORTUARIA - NO PORTO DE MANAUS - NO ESTADO DO AMAZONAS	Transporte
13LJ	MELHORAMENTOS NO CANAL DE NAVEGACAO DA HIDROVIA DO RIO AMAZONAS	Transporte
13NC	ADEQUACAO DE TRECHO RODOVIARIO - FLORIANOPOLIS - PARAISO - NA BR-282/SC	Transporte
13RU	PROJETO PARA INTEGRACAO DO RIO SAO FRANCISCO COM AS BACIAS DOS RIOS PARAGUACU, SALITRE, JACUIPE, CURACA-VARGEM, MACURURE, TOURAO-POCOES, ITAPICURU E VAZA-BARRIS (EIXO SUL) - NA REGIAO NORDESTE	Gestão Ambiental
13SL	CONSTRUCAO DE TRECHO RODOVIARIO - DIVISA PE/AL (INAJA) - ENTRONCAMENTO BR-423 (CARIE) - NA BR-316/AL	Transporte
13UW	CONSTRUCAO DE ACESSO RODOVIARIO EM ILHOTA - NA BR-470/SC	Transporte
13X5	ADEQUACAO DE TRAVESSIA URBANA EM IMPERATRIZ - NA BR-010/MA	Transporte
13X7	ADEQUACAO DE TRECHO RODOVIARIO - DIVISA PE/BA (IBO) - FEIRA DE SANTANA - NA BR-116/BA	Transporte
13XG	CONSTRUCAO DE TRECHO RODOVIARIO - DIVISA BA/MG (SALTO DA DIVISA) - ENTRONCAMENTO MG-406 (ALMENARA) - NA BR-367/MG	Transporte
13XJ	ADEQUACAO DE TRECHO RODOVIARIO - ENTRONCAMENTO BR-494/MG-423 (NOVA SERRANA) - UBERABA - NA BR-262/MG	Transporte
13XW	ADEQUACAO DE TRAVESSIA URBANA EM LAGES - NA BR-282/SC	Transporte
13XZ	CONSTRUCAO DO CONTORNO RODOVIARIO NORTE EM PORTO VELHO - NA BR-319/RO	Transporte
13Y0	ADEQUACAO DA VIA EXPRESSA DE FLORIANOPOLIS - NA BR-282/SC	Transporte
13Y2	ADEQUACAO DE TRECHO RODOVIARIO - DIVISA RJ/SP - UBATUBA (PRAIA GRANDE) - NA BR-101/SP	Transporte
13YE	ADEQUACAO DE TRECHO RODOVIARIO - ENTRONCAMENTO BR-104/408/PB-095 (CAMPINA GRANDE) - ENTRONCAMENTO BR-110/361 (PATOS) - NA BR-230/PB	Transporte
13YK	CONSTRUCAO DE TRECHO RODOVIARIO - LARANJAL DO JARI - ENTRONCAMENTO BR-210/AP-030 - NA BR-156/AP	Transporte
13ZD	ADEQUACAO DE TRAVESSIA URBANA EM PRIMAVERA DO LESTE - NA BR-070/MT	Transporte
140C	IMPLANTACAO DOS PROJETOS PUBLICOS DE IRRIGACAO DO CANAL DO SERTAO ALAGOANO COM 13.579 HA NO ESTADO DE ALAGOAS	Agricultura
140N	RECUPERACAO E ADEQUACAO DE INFRAESTRUTURAS HIDRICAS	Gestão Ambiental
140S	IMPLANTACAO DO SISTEMA ADUTOR NOVA CAMARA NO ESTADO DA PARAIBA	Gestão Ambiental
140U	DESENVOLVIMENTO DE ACOES DE PLANEJAMENTO, GESTAO, ESTUDOS, PROJETOS E FORTALECIMENTO INSTITUCIONAL - INTERAGUAS	Administração
140X	REGULARIZACAO AMBIENTAL E FUNDIARIA DE PROJETOS PUBLICOS DE IRRIGACAO	Agricultura
1418	CONSTRUCAO DE TRECHO RODOVIARIO - FERREIRA GOMES - OIAPOQUE (FRONTEIRA COM A GUIANA FRANCESA) - NA BR-156/AP	Transporte
141H	CONSTRUCAO DO CANAL DO SERTAO PERNAMBUCANO NO ESTADO DO PERNAMBUCO	Gestão Ambiental
141J	LIGACOES INTRADOMICILIARES DE ESGOTOS SANITARIOS E MODULOS SANITARIOS DOMICILIARES	Saneamento
141M	CONSTRUCAO, REFORMA E AMPLIACAO DOS PREDIOS SEDE, SUPERINTENDENCIAS REGIONAIS E UNIDADES ADMINISTRATIVAS DA CODEVASF	Administração
1422	CONSTRUCAO DE TRECHO RODOVIARIO - SENA MADUREIRA - CRUZEIRO DO SUL - NA BR-364/AC	Transporte
1428	CONSTRUCAO DE TRECHO RODOVIARIO - BOCA DO ACRE - DIVISA AM/AC - NA BR-317/AM	Transporte
142D	ESTRUTURACAO E CONSOLIDACAO DE COMISSOES GESTORAS, ASSOCIACOES DE USUARIOS DE AGUA, EM RESERVATORIOS FEDERAIS NA REGIAO SEMIARIDA	Gestão Ambiental
147F	IMPLANTACAO DE SISTEMA DE DEFESA CIBERNETICA PARA A DEFESA NACIONAL	Defesa Nacional
147G	DESENVOLVIMENTO DO SISTEMA INTEGRADO DE RELACAO DE TRABALHO	Administração
147J	CONSTRUCAO DOS INSTITUTOS DE SAUDE DA MULHER E DA CRIANCA E DE INFECTOLOGIA	Saúde
147K	IMPLANTACAO DE CENTROS DE PRESTACAO DE SERVICOS AOS EMPREENDEDORES	Comércio e Serviços
147S	AMPLIACAO DA REDE NACIONAL DE MONITORAMENTO METEOROLOGICO	Agricultura
147T	CONSTRUCAO, EQUIPAMENTO E IMPLANTACAO DA EMBRAPA QUARENTENA VEGETAL	Agricultura
147V	CONSTRUCAO DO CENTRO DE DOCUMENTACAO E HISTORIA DA SAUDE	Saúde
147W	CONSTRUCAO DO EDIFICIO-SEDE II DO MINISTERIO DA FAZENDA EM CURITIBA - PR	Administração
147X	CONSTRUCAO DO EDIFICIO-SEDE DA DELEGACIA DA RECEITA FEDERAL DO BRASIL EM FRANCA - SP	Administração
148D	DESENVOLVIMENTO E IMPLANTACAO DO NOVO SISTEMA DE CONTROLE DE ATIVIDADES FINANCEIRAS - SISCOAF II	Administração
148G	CONSTRUCAO DE PREDIOS DO HOSPITAL DE CLINICAS DE PORTO ALEGRE	Educação
148H	CONSTRUCAO DE EDIFICIO-SEDE DE UNIDADES DO MINISTERIO DA FAZENDA EM VITORIA - ES	Administração
148J	CONSTRUCAO DE EDIFICIO-SEDE DE UNIDADES DO MINISTERIO DA FAZENDA EM MANAUS - AM	Administração
148K	CONSTRUCAO DE EDIFICIO-SEDE DE UNIDADES DO MINISTERIO DA FAZENDAL EM PORTO ALEGRE - RS	Administração
148L	CONSTRUCAO DE EDIFICIO-SEDE DE UNIDADES DO MINISTERIO DA FAZENDA EM RECIFE-PE	Administração
1490	CONSTRUCAO DE TRECHO RODOVIARIO - DIVISA MT/PA - SANTAREM - NA BR-163/PA	Transporte
14IE	OBRA DE RECUPERACAO DO EDIFICIO-SEDE DO MINISTERIO DA FAZENDA DO RIO DE JANEIRO - RJ	Administração
14IF	OBRA DE RECUPERACAO DO EDIFICIO-SEDE DO MINISTERIO DA FAZENDA DE SAO PAULO - SP	Administração
14IM	IMPLANTACAO DO HOSPITAL UNIVERSITARIO DA UNIVERSIDADE FEDERAL DE JUIZ DE FORA	Educação
14K8	ADEQUACAO DE ACESSO RODOVIARIO EM SERRA (BAIRRO CIDADE DE POMAR) - NA BR-101/ES	Transporte
14KV	APOIO A IMPLANTACAO DE MELHORAMENTOS NO CANAL DE NAVEGACAO DA HIDROVIA DO RIO TIETE/SP	Transporte
14LA	CONSTRUCAO DA BARRAGEM INGAZEIRA, NO ESTADO DE PERNAMBUCO	Gestão Ambiental
14LJ	FORTALECIMENTO DAS INSTITUICOES DE DEFESA CIVIL E DE CORPOS DE BOMBEIROS PARA GRANDES EVENTOS	Segurança Pública
14LV	ADEQUACAO DE TRAVESSIA URBANA EM JUAZEIRO - NAS BRS 235/407/BA	Transporte
14LW	IMPLANTACAO DO SISTEMA DE DEFESA ESTRATEGICO ASTROS 2020	Defesa Nacional
14ML	RECONSTRUCAO DA ESTACAO ANTARTICA COMANDANTE FERRAZ	Defesa Nacional
14MM	IMPLANTACAO DO PLANO DE RECUPERACAO DE AREAS DEGRADADAS NA MALHA FERROVIARIA	Transporte
14NE	REFORMA, ADEQUACAO E MODERNIZACAO DE PREDIO PARA SEDE DO INMETRO - RJ	Indústria
14OB	ADEQUACAO DE TRAVESSIA URBANA EM SEBERI - NAS BRS 158/386/RS	Transporte
14PC	CONSTRUCAO DA SEGUNDA PONTE SOBRE O RIO GUAIBA E ACESSOS - NA BR-116/290/RS	Transporte
14RL	REALIZACAO DE ESTUDOS, PROJETOS E OBRAS PARA CONTENCAO OU AMORTECIMENTO DE CHEIAS E INUNDACOES E PARA CONTENCAO DE EROSOES MARINHAS E FLUVIAIS	Gestão Ambiental
14RM	IMPLANTACAO DA BARRAGEM GERMINAL NO ESTADO DO CEARA	Gestão Ambiental
14RP	REABILITACAO DE BARRAGENS E DE OUTRAS INFRAESTRUTURAS HIDRICAS	Gestão Ambiental
14RQ	IMPLANTACAO DO SISTEMA INTEGRADO DE ABASTECIMENTO DE AGUA CONGO - ETAPA III - NO ESTADO DA PARAIBA	Gestão Ambiental
14RR	IMPLANTACAO DO SISTEMA INTEGRADO DE ABASTECIMENTO DE AGUA DE MINADOR DO NEGRAO, ESTRELA DE ALAGOAS E IGACI NO ESTADO DE ALAGOAS	Gestão Ambiental
14RS	IMPLANTACAO DO SISTEMA INTEGRADO DE ABASTECIMENTO DE AGUA NATUBA - NO ESTADO DA PARAIBA	Gestão Ambiental
14RU	RECUPERACAO E AMPLIACAO DO SISTEMA INTEGRADO DE ABASTECIMENTO DE AGUA DA BACIA LEITEIRA NO ESTADO DE ALAGOAS	Gestão Ambiental
14RV	AMPLIACAO DA ADUTORA DA BARRAGEM PAU FERRO A BARRAGEM SAO JACQUES NO ESTADO DE PERNAMBUCO	Gestão Ambiental
14RX	IMPLANTACAO DO SISTEMA INTEGRADO DE ABASTECIMENTO DE AGUA CAMPO ALEGRE DE LOURDES NO ESTADO DA BAHIA	Gestão Ambiental
14RY	IMPLANTACAO DE BARRAGEM E DO SISTEMA INTEGRADO DE ABASTECIMENTO DE AGUA MILAGRES NO ESTADO DO PIAUI	Gestão Ambiental
14RZ	AMPLIACAO DA ADUTORA REDENCAO NO ESTADO DE PERNAMBUCO	Gestão Ambiental
14S0	RECUPERACAO DA ADUTORA DO GARRINCHO NO ESTADO DO PIAUI	Gestão Ambiental
14S5	AMPLIACAO DO SISTEMA INTEGRADO DE ABASTECIMENTO DE AGUA ALTO SERTAO NO ESTADO DE SERGIPE	Gestão Ambiental
14S6	IMPLANTACAO DO SISTEMA ADUTOR UMARI-CAMPO GRANDE NO ESTADO DO RIO GRANDE DO NORTE	Gestão Ambiental
14S8	IMPLANTACAO DA ADUTORA SANTA CRUZ DA BAIXA VERDE NO ESTADO DE PERNAMBUCO	Gestão Ambiental
14S9	IMPLANTACAO DA ADUTORA DE ALTO SANTO NO ESTADO DO CEARA	Gestão Ambiental
14SB	IMPLANTACAO DA ADUTORA TABOCAS-POCO FUNDO NO ESTADO DE PERNAMBUCO	Gestão Ambiental
14SC	AMPLIACAO DO SISTEMA INTEGRADO DE ABASTECIMENTO DE AGUA SERTANEJA NO ESTADO DE SERGIPE	Gestão Ambiental
14SD	AMPLIACAO DO SISTEMA INTEGRADO DE ABASTECIMENTO DE AGUA TOMAR DO GERU NO ESTADO DE SERGIPE	Gestão Ambiental
14SG	AMPLIACAO DA BARRAGEM DE MATO VERDE NO ESTADO DE MINAS GERAIS	Gestão Ambiental
14SH	AMPLIACAO DO SISTEMA INTEGRADO DE ABASTECIMENTO DE AGUA DO OESTE NO ESTADO DE PERNAMBUCO	Gestão Ambiental
14SL	RECUPERACAO DA ADUTORA AMARAJI NO ESTADO DE PERNAMBUCO	Gestão Ambiental
14SS	IMPLANTACAO DO SISTEMA ADUTOR PADRE LIRA NO ESTADO DO PIAUI	Gestão Ambiental
14ST	IMPLANTACAO DO SISTEMA INTEGRADO DE ABASTECIMENTO DE AGUA BOCAINA-PIAUS II NO ESTADO DO PIAUI	Gestão Ambiental
14SV	IMPLANTACAO DO SISTEMA INTEGRADO DE ABASTECIMENTO DE AGUA CAMALAU NO ESTADO DA PARAIBA	Gestão Ambiental
14SY	APOIO A REALIZACAO DE GRANDES EVENTOS	Defesa Nacional
14T0	AQUISICAO DE AERONAVES DE CACA E SISTEMAS AFINS - PROJETO FX-2	Defesa Nacional
14T2	IMPLANTACAO E ADEQUACAO DA DEFESA ANTIAEREA NA FORCA AEREA BRASILEIRA	Defesa Nacional
14T4	IMPLANTACAO DO PROJETO GUARANI	Defesa Nacional
14T5	IMPLANTACAO DO SISTEMA INTEGRADO DE MONITORAMENTO DE FRONTEIRAS - SISFRON	Defesa Nacional
14T6	IMPLANTACAO DO PROGRAMA ESTRATEGICO DE PROTECAO DA SOCIEDADE (PROTEGER)	Defesa Nacional
14T7	TECNOLOGIA NUCLEAR DA MARINHA	Defesa Nacional
14T8	IMPLANTACAO DA 2. ESQUADRA	Defesa Nacional
14TB	CONSTRUCAO DE NAVIOS ESCOLTAS (NESC)	Defesa Nacional
14TH	IMPLANTACAO E MODERNIZACAO DE SISTEMAS BELICOS E EQUIPAMENTOS	Defesa Nacional
14TI	IMPLANTACAO DE TERMINAIS PESQUEIROS (TPP)	Agricultura
14TJ	PARTICIPACAO DA UNIAO NA IMPLEMENTACAO DO PRODETUR	Comércio e Serviços
14TL	ADEQUACAO DE LINHA FERREA EM JUIZ DE FORA - EF-040/MG	Transporte
14TP	IMPLANTACAO DE INFRAESTRUTURA ESPORTIVA DE ALTO RENDIMENTO	Desporto e Lazer
14TQ	IMPLANTACAO DE INFRAESTRUTURA PARA OS JOGOS OLIMPICOS E PARAOLIMPICOS RIO 2016	Desporto e Lazer
14TR	IMPLANTACAO DOS CENTROS DE INICIACAO AO ESPORTE - CIE	Desporto e Lazer
14TS	ADEQUACAO DOS SISTEMAS DE TRENS A ACESSIBILIDADE UNIVERSAL	Urbanismo
14TT	MODERNIZACAO E RECUPERACAO DO SISTEMA DE TRENS URBANOS	Urbanismo
14U2	IMPLANTACAO, INSTALACAO E MODERNIZACAO DE ESPACOS E EQUIPAMENTOS CULTURAIS	Cultura
14U7	FOMENTO A CONTEUDOS DIGITAIS CRIATIVOS	Comunicações
14UB	CONSTRUCAO, REFORMA E REAPARELHAMENTO DE AEROPORTOS E AERODROMOS DE INTERESSE REGIONAL	Transporte
14UC	CONSTRUCAO, REFORMA E REAPARELHAMENTO DAS INFRAESTRUTURAS AERONAUTICA CIVIL E AEROPORTUARIA DE INTERESSE FEDERAL	Transporte
14UE	AQUISICOES DE IMOVEIS PARA UNIDADES DO DNPM	Indústria
14UF	CONSTRUCAO, REFORMA, EQUIPAGEM E AMPLIACAO DE UNIDADES DE ATENDIMENTO ESPECIALIZADO A CRIANCAS E ADOLESCENTES	Direitos da Cidadania
14UN	CONSTRUCAO DO EDIFICIO-SEDE DA ESCOLA SUPERIOR DE GUERRA EM BRASILIA	Defesa Nacional
14UO	IMPLANTACAO DE CENTROS DE DESENVOLVIMENTO TECNOLOGICO E DE PRODUCAO DE INSUMOS PARA O SUS	Saúde
14UP	CONSTRUCAO DO EDIFICIO-SEDE UNIDADE REGIONAL NO ESTADO DE PERNAMBUCO	Administração
14UQ	CONSTRUCAO DO EDIFICIO-SEDE DA CONTROLADORIA-REGIONAL DA UNIAO NO ESTADO DO MARANHAO	Administração
14UR	CONSTRUCAO DO EDIFICIO-SEDE DA CONTROLADORIA-REGIONAL DA UNIAO NO ESTADO DO AMAZONAS	Administração
14US	CONSTRUCAO DO EDIFICIO-SEDE DA UNIDADE REGIONAL NO ESTADO DA PARAIBA	Administração
14UT	CONSTRUCAO DO EDIFICIO-SEDE DA CONTROLADORIA-REGIONAL DA UNIAO NO ESTADO DO RIO GRANDE DO NORTE	Administração
14UU	CONSTRUCAO DO EDIFICIO-SEDE DA CONTROLADORIA-REGIONAL DA UNIAO NO ESTADO DO PIAUI	Administração
14UX	APERFEICOAMENTO, MODERNIZACAO E EXPANSAO DOS SISTEMAS DO CENTRO NACIONAL DE GERENCIAMENTO DE RISCOS E DESASTRES - CENAD	Segurança Pública
14UY	IMPLANTACAO DO SISTEMA NACIONAL DE REGISTRO DE IDENTIFICACAO CIVIL	Segurança Pública
14VI	IMPLANTACAO DE INFRAESTRUTURAS HIDRICAS PARA OFERTA DE AGUA	Gestão Ambiental
14VK	RECUPERACAO DA ADUTORA DE AGUA BRUTA HIDROLANDIA-IRAJA, COM EXTENSAO DE 11 KM, NO ESTADO DO CEARA	Gestão Ambiental
14VL	AMPLIACAO DO SISTEMA INTEGRADO DE ABASTECIMENTO DE AGUA PENDENCIAS, MACAU, GUAMARE E BAIXA DO MEIO, NO ESTADO DO RIO GRANDE DO NORTE	Gestão Ambiental
14VW	APOIO LOGISTICO AS FORCAS DE SEGURANCA PUBLICA DO ESTADO DO RIO DE JANEIRO	Defesa Nacional
14VX	IMPLANTACAO DO CENTRO DE INSTRUCAO E ADAPTACAO DA AERONAUTICA - CIAAR EM LAGOA SANTA - MG	Defesa Nacional
14WM	SERVICOS DE TELECOMUNICACOES PARA GRANDES EVENTOS	Comunicações
14X1	CONSTRUCAO DE VIADUTO RODOVIARIO EM MACEIO (VIADUTO PRF) - NO ENTRONCAMENTO DAS BRS 104/316/AL	Transporte
14X6	RECUPERACAO DE AREAS DEGRADADAS - FERROVIAS FEDERAIS	Transporte
14XH	PARTICIPACAO BRASILEIRA NA EXPOSICAO UNIVERSAL DE MILAO	Comércio e Serviços
14XI	CONSTRUCAO E INSTALACAO DE INFRAESTRUTURA LABORATORIAL NO INSTITUTO DE METROLOGIA, QUALIDADE E TECNOLOGIA - INMETRO	Indústria
14XJ	AQUISICAO DE CARGUEIRO TATICO MILITAR DE 10 A 20 TONELADAS - PROJETO KC-390	Defesa Nacional
14XK	OBTENCAO DE PROPRIOS NACIONAIS RESIDENCIAIS PARA A MARINHA	Defesa Nacional
